"Contract #","Bid Solicitation #","Description","Vendor","Type Code","Dollars Spent to Date","Organization","Status","Begin Date","End Date"
"25-FLEET-99626","","M4029 Ambulance, Emergency Vehicles, Fire Apparatus & Specialty Vehicles, Equipment and Accessories ","LDV Inc.","NATCOOP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","01/27/2025","08/22/2029"
"25-FLEET-99624","","M4029 Ambulance, Emergency Vehicles, Fire Apparatus & Specialty Vehicles, Equipment and Accessories ","Farber Specialty Vehicles","NATCOOP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","01/27/2025","07/25/2029"
"25-FLEET-97674","","M0002 CUSTOM ORDERS - Facilities, Maintenance and Repair & Operations (MRO) and Industrial Supplies","Fastenal","NATCOOP/NJCOOP","$386,027.96","Division of Purchase and Property ","3PS - Sent","01/01/2025","08/31/2026"
"25-FLEET-96861","","M0002 Facilities, Maintenance and Repair & Operations (MRO) and Industrial Supplies","GRAINGER","NATCOOP/NJCOOP","$6,059,608.78","Division of Purchase and Property ","3PS - Sent","01/01/2025","08/31/2026"
"25-FLEET-92268","","T2760 OEM Automotive Parts and Accessories for Light Duty Vehicles Class 4 or Lower","FRANKS TRUCK CENTER INC       ","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","08/05/2019","08/04/2025"
"25-FLEET-82627","","M8000 Tires, Tubes and Services - Statewide","The Goodyear Tire & Rubber Company","NATCOOP/NJCOOP","$1,156,127.48","Division of Purchase and Property ","3PS - Sent","07/12/2024","06/30/2027"
"25-FLEET-81812","","M8000 Tires, Tubes and Services - Statewide","Bridgestone Americas, Inc.","NATCOOP/NJCOOP","$713,578.27","Division of Purchase and Property ","3PS - Sent","07/03/2024","06/30/2027"
"25-FLEET-110661","","T2959 Utility Truck 11,000 lb GVWR Extended Cab/Super SRW Gas Powered 4WD with 9' Body & Accessories","Route 23 Automall LLC","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","06/13/2025","06/12/2028"
"25-FLEET-109599","","M4009 - Vehicle Lifts with Garage and Fleet Maintenance and Equipment - Statewide","Liftnow Automotive Equipment Corp.","NATCOOP/NJCOOP","$1,211.49","Division of Purchase and Property ","3PS - Sent","05/28/2025","02/12/2028"
"25-FLEET-109424","","M4009 - Vehicle Lifts with Garage and Fleet Maintenance and Equipment - Statewide","Stertil-Koni","NATCOOP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/27/2025","02/12/2028"
"25-FLEET-109164","","M4012 Heavy Construction and Industrial Equipment","Bobcat Company","NATCOOP/NJCOOP","$91,984.36","Division of Purchase and Property ","3PS - Sent","05/27/2025","07/09/2026"
"25-FLEET-109150","","M4012 Heavy Construction and Industrial Equipment","Volvo Construction Equipment North America LLC","NATCOOP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/27/2025","07/09/2026"
"25-FLEET-109069","","T2103-Cargo Vans, Gasoline/Diesel/Electric Engines, with Various Drivetrains and Roof Configurations","CIOCCA FMFL INC./DBA CIOCCA PARTS WAREHOUSE","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/30/2025","05/29/2028"
"25-FLEET-109068","","T2103-Cargo Vans, Gasoline/Diesel/Electric Engines, with Various Drivetrains and Roof Configurations","NIELSEN OF MORRISTOWN INC","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/30/2025","05/29/2028"
"25-FLEET-109067","","T2103-Cargo Vans, Gasoline/Diesel/Electric Engines, with Various Drivetrains and Roof Configurations","NIELSEN FORD OF MORRISTOWN INC","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/30/2025","05/29/2028"
"25-FLEET-109066","","T2103-Cargo Vans, Gasoline/Diesel/Electric Engines, with Various Drivetrains and Roof Configurations","Nielsen Chevrolet","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/30/2025","05/29/2028"
"25-FLEET-109065","","T2103-Cargo Vans, Gasoline/Diesel/Electric Engines, with Various Drivetrains and Roof Configurations","Chas s Winner Inc","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/30/2025","05/29/2028"
"25-FLEET-109064","","T2103-Cargo Vans, Gasoline/Diesel/Electric Engines, with Various Drivetrains and Roof Configurations","Hertrich Fleet Services Inc.","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/30/2025","05/29/2028"
"25-FLEET-108991","","M4009 - Vehicle Lifts with Garage and Fleet Maintenance and Equipment - Statewide","ARI Phoenix, Inc. dba ARI-Hetra","NATCOOP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/20/2025","02/12/2028"
"25-FLEET-102845","","T3060 Crawler/Dozer, Screened Cab Enclosure, Low Ground Pressure, Diesel, with Min. 2 Cu. Yd. Blade","JESCO Inc","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","04/01/2025","03/31/2029"
"25-FLEET-102550","","M4018 Road Right-of-Way Maintenance Equipment","Tiger Mowers LLC","NATCOOP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","03/27/2025","08/09/2025"
"25-DPP-100023","","T0154 - Water Treatment & Maintenance Services (Heating & Cooling) - Statewide","WEI H2o NY, LLC","RFP/NJCOOP/SBE","$32,685.00","Division of Purchase and Property ","3PS - Sent","02/07/2025","03/31/2026"
"25-CPRO-110550","","02-20-25-19DPA Mercury Analyzer","AGS Scientific, Inc.","","$0.00","New Jersey Department of Health","3PS - Sent","04/29/2025","04/28/2035"
"25-CPRO-108927","","#12-30-24-18DPA Positive Youth Development Training ","The Wyman Center, Inc.","","$0.00","New Jersey Department of Health","3PS - Sent","05/16/2025","05/15/2030"
"25-CPRO-107772","","#01-18-24-07DPA Organ Transplant Study for the New Jersey Department of Health","New Jersey Innovation Institute","","$0.00","New Jersey Department of Health","3PS - Sent","05/02/2025","05/01/2026"
"25-CPRO-102875","","Medical Reserve Corps (MRC) Recruitment- Video Production Services","Forge Apollo","","$61,000.00","New Jersey Department of Health","3PS - Sent","03/18/2025","11/30/2025"
"25-CPRO-101475","","#11-26-24-16DPA Cobot for Proof of Concept Study","The Knotts Company, Inc","","$55,427.42","New Jersey Department of Health","3PS - Sent","02/18/2025","02/17/2030"
"25-COMG-99562","","M2075 Copiers and Managed Print Services - Statewide","Ricoh USA Inc","NATCOOP/NJCOOP","$751,354.69","Division of Purchase and Property ","3PS - Sent","01/24/2025","07/31/2026"
"25-COMG-97678","","M0002 CUSTOM ORDERS - Facilities, Maintenance and Repair & Operations (MRO) and Industrial Supplies","MSC Industrial Supply Co.","NATCOOP/NJCOOP","$31,293.51","Division of Purchase and Property ","3PS - Sent","01/01/2025","08/31/2026"
"25-COMG-97677","","M0002 Facilities, Maintenance and Repair & Operations (MRO) and Industrial Supplies","MSC Industrial Supply Co.","NATCOOP/NJCOOP","$314,950.00","Division of Purchase and Property ","3PS - Sent","01/01/2025","08/31/2026"
"25-COMG-97666","","M0002 Facilities, Maintenance and Repair & Operations (MRO) and Industrial Supplies","Fastenal","NATCOOP/NJCOOP","$1,158,716.65","Division of Purchase and Property ","3PS - Sent","01/01/2025","08/31/2026"
"25-COMG-96978","","M0002 CUSTOM ORDERS - Facilities, Maintenance and Repair & Operations (MRO) and Industrial Supplies","GRAINGER","NATCOOP/NJCOOP","$533,666.67","Division of Purchase and Property ","3PS - Sent","01/01/2025","08/31/2026"
"25-COMG-94198","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Special-T, LLC","GSA/NJCOOP","$7,601.72","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94183","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Krug Inc.","GSA/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94172","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Via Inc","GSA/NJCOOP","$37,335.17","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94171","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","The HON Company LLC","GSA/NJCOOP","$362,421.23","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94170","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Steelcase Inc.","GSA/NJCOOP","$336,640.00","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94167","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Stance Healthcare Inc. ","GSA/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94165","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Safco Products Co.","GSA/NJCOOP","$52,300.44","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94164","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","OFS BRANDS INC","GSA/NJCOOP","$57,277.07","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94163","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Office Master Inc.","GSA/NJCOOP","$243,101.03","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94161","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Metalworks Inc. dba Great Openings","GSA/NJCOOP","$302,166.74","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94158","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Krueger International Inc.","GSA/NJCOOP","$21,081.50","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94154","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Kimball International Brands, Inc.","GSA/NJCOOP","$928,021.53","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94152","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Humanscale Corporation","GSA/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94151","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Global Industries Inc.","GSA/NJCOOP","$127,692.39","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94148","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Fellowes, Inc.","GSA/NJCOOP","$13,824.06","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94142","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Exemplis Corporation","GSA/NJCOOP","$450,717.69","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94139","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Datum Storage Solutions","GSA/NJCOOP","$27,028.16","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94136","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Daco Limited Partnership dba Dauphin ","GSA/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94134","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Arconas Corporation","GSA/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94132","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Allsteel Inc","GSA/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94129","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Allseating Corporation","GSA/NJCOOP","$899.80","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94126","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Affordable Interior Systems Inc","GSA/NJCOOP","$7,204,675.27","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94102","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Knoll Inc.","GSA/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94101","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","9to5 Seating LLC","GSA/NJCOOP","$211,969.44","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94096","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","New England Woodcraft Inc.","GSA/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94095","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","John Savoy & Son inc. dba Savoy contract furniture","GSA/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94091","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","Jasper Seating Company Inc.","GSA/NJCOOP","$354,331.08","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-94089","","G2004 Furniture: Office, Dormitory, Residential, Library, Classroom, Lounge and System - Statewide","High Point Furniture Industries HPFI","GSA/NJCOOP","$4,822.12","Division of Purchase and Property ","3PS - Sent","12/19/2024","12/18/2028"
"25-COMG-92867","","T1186 Blueprint/Architect Print Reproduction Services - DOT and DPMC","FLM Reprographics Inc","RFP/SBE","$76,830.00","Division of Purchase and Property ","3PS - Sent","11/08/2024","11/07/2028"
"25-COMG-91957","","M4017 Medical Supplies and Pharmaceuticals","McKesson Medical-Surgical Government Solutions LLC","NATCOOP/NJCOOP","$482,038.28","Division of Purchase and Property ","3PS - Sent","10/21/2024","04/30/2026"
"25-COMG-84669","","M4017 Medical Supplies and Pharmaceuticals","Medline Industries LP","NATCOOP/NJCOOP","$6,687,105.10","Division of Purchase and Property ","3PS - Sent","08/09/2024","04/30/2026"
"25-COMG-110763","","M2075 Copiers and Managed Print Services - Statewide","KYOCERA DOCUMENT SOLUTIONS  ","NATCOOP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","06/12/2025","07/31/2026"
"25-COMG-110479","","T1529 - Traffic Signals, Poles, Controls, Elec. Equip. and Signal Indications - Statewide - REBID","General Traffic Equipment Corp","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","06/11/2025","06/10/2028"
"25-COMG-110478","","T1529 - Traffic Signals, Poles, Controls, Elec. Equip. and Signal Indications - Statewide - REBID","FLAGPOLES INC.","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","06/11/2025","06/10/2028"
"25-COMG-109583","","T0148 Catch Basin Castings, Inlets & Manholes - Statewide","Campbell Foundry Company","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","06/16/2025","06/15/2029"
"25-COMG-108995","","M4009 - Vehicle Lifts with Garage and Fleet Maintenance and Equipment - Statewide","Mohawk Lifts LLC","NATCOOP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/20/2025","02/12/2029"
"25-COMG-108572","","T1473 - Traffic Signal Controllers and Camera Image Detection Systems - Statewide","ITS Plus, Inc.","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/15/2025","05/14/2029"
"25-COMG-108571","","T1473 - Traffic Signal Controllers and Camera Image Detection Systems - Statewide","Signal Control Products LLC","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/15/2025","05/14/2029"
"25-COMG-108570","","T1473 - Traffic Signal Controllers and Camera Image Detection Systems - Statewide","Intelligent Traffic Supply Products LLC","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/15/2025","05/14/2029"
"25-COMG-104259","","M2075 Copiers and Managed Print Services - Statewide","Xerox Corporation ","NATCOOP/NJCOOP","$17,430.75","Division of Purchase and Property ","3PS - Sent","03/24/2025","07/31/2026"
"25-COMG-104257","","M2075 Copiers and Managed Print Services - Statewide","HP Inc.","NATCOOP/NJCOOP","$149,136.00","Division of Purchase and Property ","3PS - Sent","03/24/2025","07/31/2026"
"25-COMG-103708","","M2075 Copiers and Managed Print Services - Statewide","Canon USA","NATCOOP/NJCOOP","$318,847.53","Division of Purchase and Property ","3PS - Sent","03/18/2025","07/31/2026"
"24-WAIVE-80924","","14-25-Taxation","Teradata Government Systems, LLC","","$526,968.00","Division of Purchase and Property ","3PS - Sent","06/26/2024","06/30/2027"
"24-WAIVE-80219","","68-24-DOC","Pigeonly Inc","","$431,496.00","Division of Purchase and Property ","3PS - Sent","06/17/2024","06/30/2026"
"24-WAIVE-80209","","78-24-DHS","Catholic Charities of the Archdiocese of Newark","","$2,253,218.00","Division of Purchase and Property ","3PS - Sent","06/17/2024","04/13/2026"
"24-WAIVE-80200","","79-24-DCA","Barlo, Governale & Associates, LLC","","$0.00","Division of Purchase and Property ","3PS - Sent","06/17/2024","06/17/2026"
"24-WAIVE-79366","","81-24-DEP","American Bird Conservancy","","$1,277,079.00","Division of Purchase and Property ","3PS - Sent","06/06/2024","01/31/2026"
"24-WAIVE-79129","","82-24-DORES","Financial Asset Management Systems Inc.","","$888,589.76","Division of Purchase and Property ","3PS - Sent","06/05/2024","05/06/2026"
"24-WAIVE-77071","","34-24-DOH","Cepheid","","$241,373.93","Division of Purchase and Property ","3PS - Sent","05/10/2024","05/06/2026"
"24-WAIVE-76327","","75-24-BPU","The Brattle Group, Inc.","","$0.00","Division of Purchase and Property ","3PS - Sent","05/03/2024","05/01/2026"
"24-WAIVE-75642","","01-24-DEP","Commonwealth of Pennsylvania","","$565,590.50","Division of Purchase and Property ","3PS - Sent","04/26/2024","12/31/2026"
"24-WAIVE-75279","","76-24-DOH","iChrom Solutions","","$457,110.00","Division of Purchase and Property ","3PS - Sent","04/23/2024","06/30/2026"
"24-WAIVE-73396","","29-24-DOH","Clear Labs, Inc.","","$575,914.00","Division of Purchase and Property ","3PS - Sent","04/03/2024","06/30/2026"
"24-WAIVE-72128","","70-24-DOH","MODERNA US INC","","$572,368.60","Division of Purchase and Property ","3PS - Sent","03/20/2024","03/19/2026"
"24-WAIVE-71680","","67-24-DOH","Life Technologies Corporation","","$822,091.62","Division of Purchase and Property ","3PS - Sent","03/14/2024","03/13/2026"
"24-WAIVE-71418","","55-24-DCF","Olga E. Hervis Corporation","","$452,100.00","Division of Purchase and Property ","3PS - Sent","03/12/2024","09/30/2025"
"24-WAIVE-70829","","64-24-DOH","Bruker Scientific LLC ","","$59,877.58","Division of Purchase and Property ","3PS - Sent","03/06/2024","03/05/2026"
"24-WAIVE-70188","","62-24-DOH","AB SCIEX LLC","","$435,704.88","Division of Purchase and Property ","3PS - Sent","02/29/2024","06/30/2026"
"24-WAIVE-69648","","60-24-DOH","GT Molecular","","$83,525.00","Division of Purchase and Property ","3PS - Sent","02/22/2024","02/20/2026"
"24-WAIVE-69644","","59-24-DOH","Wellington Laboratories LLC","","$81,865.00","Division of Purchase and Property ","3PS - Sent","02/22/2024","07/31/2025"
"24-WAIVE-67793","","47-24-Treasury","JOHNSON CONTROLS FIRE PROTECTION LP ","","$7,874,147.35","Division of Purchase and Property ","3PS - Sent","10/24/2023","10/23/2025"
"24-WAIVE-67392","","52-24-DOH","Waters Technologies Corporation","","$77,273.04","Division of Purchase and Property ","3PS - Sent","01/26/2024","01/23/2026"
"24-WAIVE-66967","","42-24-DOH","National Foundation for the Centers for Disease Control and Prevention, Inc","","$942,999.63","Division of Purchase and Property ","3PS - Sent","01/23/2024","08/31/2025"
"24-WAIVE-64717","","44-24-DOT","The Gordian Group Inc.","","$424,294.02","Division of Purchase and Property ","3PS - Sent","09/01/2023","08/31/2025"
"24-WAIVE-64559","","46-24-BPU","Energy and Environmental Economics, Inc.","","$1,964,568.00","Division of Purchase and Property ","3PS - Sent","12/15/2023","07/19/2025"
"24-WAIVE-64314","","45-24-Investments","Institutional Shareholder Services Inc.","","$0.00","Division of Purchase and Property ","3PS - Sent","12/06/2023","10/31/2027"
"24-WAIVE-62307","","35-24-DCA","LEW ENVIRONMENTAL SERVICES","","$924,500.00","Division of Purchase and Property ","3PS - Sent","11/22/2024","11/20/2026"
"24-WAIVE-62010","","38-24-Taxation","Teradata Government Systems, LLC","","$462,410.00","Division of Purchase and Property ","3PS - Sent","11/15/2023","06/30/2026"
"24-WAIVE-60030","","36-24-L&PS","The Industrial Laboratories Company, Inc.","","$563,505.00","Division of Purchase and Property ","3PS - Sent","10/23/2023","06/30/2026"
"24-WAIVE-59876","","26-24-Labor","KPMG LLP","","$828,920.00","Division of Purchase and Property ","3PS - Sent","11/01/2024","11/01/2025"
"24-WAIVE-59548","","09-24-HESAA","11:11 Systems, Inc.","","$702,533.92","Division of Purchase and Property ","3PS - Sent","10/17/2023","06/30/2026"
"24-WAIVE-58687","","AN-039A-Supplement #6","Maximus US Services, Inc","","$54,165,492.00","Division of Purchase and Property ","3PS - Sent","02/21/2023","07/31/2026"
"24-WAIVE-58593","","17-24-DOE","NMC New Meridian Corporation","","$12,261,454.00","Division of Purchase and Property ","3PS - Sent","10/05/2023","03/31/2026"
"24-WAIVE-58070","","33-24-DOH","Life Technologies Corporation","","$492,283.34","Division of Purchase and Property ","3PS - Sent","09/29/2023","09/30/2025"
"24-WAIVE-56322","","18-24-BPU","Ramboll US Corporation","","$2,686,418.90","Division of Purchase and Property ","3PS - Sent","09/11/2023","09/10/2025"
"24-WAIVE-55401","","24-24-Labor","PKF OConnor Davies LLP","","$891,133.75","Division of Purchase and Property ","3PS - Sent","08/30/2023","08/28/2026"
"24-WAIVE-55057","","15-21-DOBI Supplement #4","bSolv LLC","","$1,364,000.00","Division of Purchase and Property ","3PS - Sent","08/25/2023","07/31/2026"
"24-WAIVE-54523","","11-24-DOH","Illumina","","$1,323,940.58","Division of Purchase and Property ","3PS - Sent","08/18/2023","06/30/2026"
"24-WAIVE-53366","","22-24-BPU","Levitan & Associates, Inc.","","$499,000.00","Division of Purchase and Property ","3PS - Sent","08/07/2023","08/06/2026"
"24-WAIVE-52667","","20-24-DCF","Evident Change","","$450,427.00","Division of Purchase and Property ","3PS - Sent","08/01/2023","07/31/2028"
"24-WAIVE-50148","","04-24-OPD","Edison NJ Parking LLC","","$477,698.64","Division of Purchase and Property ","3PS - Sent","07/01/2023","06/30/2026"
"24-WAIVE-49952","","04-24-DPMC","City of Trenton Parking Authority","","$986,700.00","Division of Purchase and Property ","3PS - Sent","07/01/2023","06/30/2026"
"24-TELE-75719","","M4003 Information Technology Vendor Managed Service Providers","Computer Aid Inc","NATCOOP","$187,596,046.28","Division of Purchase and Property ","3PS - Sent","04/30/2024","10/31/2026"
"24-TELE-74151","","T2424 - Surveillance and Access Control Security Systems ","General Alarm, LLC dba Triad Security Systems","RFP/PSBE","$873,273.41","Division of Purchase and Property ","3PS - Sent","08/01/2024","07/31/2027"
"24-TELE-74150","","T2424 - Surveillance and Access Control Security Systems ","Signal Electric Corp.","RFP/PSBE","$801,105.74","Division of Purchase and Property ","3PS - Sent","08/01/2024","07/31/2027"
"24-TELE-74149","","T2424 - Surveillance and Access Control Security Systems ","Johnson Controls Security Solutions LLC","RFP/PSBE","$320,793.43","Division of Purchase and Property ","3PS - Sent","08/01/2024","07/31/2027"
"24-TELE-74148","","T2424 - Surveillance and Access Control Security Systems ","Main Access Systems Inc.","RFP/PSBE","$717,276.44","Division of Purchase and Property ","3PS - Sent","08/01/2024","07/31/2027"
"24-TELE-74147","","T2424 - Surveillance and Access Control Security Systems ","TDK Systems Group, Inc.","RFP/PSBE","$918,138.73","Division of Purchase and Property ","3PS - Sent","08/01/2024","07/31/2027"
"24-TELE-72874","","T2932 - Web Design Services","The Dana Group LLC","RFP/SBE","$842,709.80","Division of Purchase and Property ","3PS - Sent","03/12/2020","03/11/2026"
"24-TELE-72087","","M0483 - COMPUTER EQUIPMENT, PERIPHERALS & RELATED SERVICES","HP Inc.","NATCOOP","$1,417,004.18","Division of Purchase and Property ","3PS - Sent","03/22/2024","06/30/2026"
"24-TELE-71883","","M0483 - COMPUTER EQUIPMENT, PERIPHERALS & RELATED SERVICES","Dell Marketing  L.P.","NATCOOP","$67,846,203.21","Division of Purchase and Property ","3PS - Sent","03/20/2024","06/30/2026"
"24-TELE-71284","","T2551 - Credit Card Payment Processing","TYLER TECHNOLOGIES, INC.","RFP/SC-SBE","$16,163,040.33","Division of Purchase and Property ","3PS - Sent","09/07/2018","09/06/2025"
"24-TELE-104069","","T0125 Tower Maintenance","Trains Towers Inc","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/30/2025","05/29/2028"
"24-TELE-102965","","T3120- Web Design, Development, Hosting and Maintenance: BPU Clean Energy Program","InClime","","$0.00","Division of Purchase and Property ","3PS - Sent","03/20/2025","03/19/2028"
"24-TELE-102737","","T1775- State Disbursement Unit Child Support Payment/Receipt Processing","Conduent State & Local Solutions, Inc.","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","03/06/2025","03/05/2028"
"24-PROS1-99629","","T1368 Technical Support for Air Quality, NJDEP","K2 Environmental Consulting LLC Khawar Kalim Sole Mbr","RFP/PSBE/PDVOB","$1,860,700.83","Division of Purchase and Property ","3PS - Sent","03/01/2025","02/29/2028"
"24-PROS1-94346","","T3062 Disaster Debris Monitoring Services","DebrisTech, LLC","RFP/NJCOOP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","02/01/2025","01/31/2028"
"24-PROS1-94345","","T3062 Disaster Debris Monitoring Services","Rostan Solutions LLC","RFP/NJCOOP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","02/01/2025","01/31/2028"
"24-PROS1-94344","","T3062 Disaster Debris Monitoring Services","Tetra Tech Inc.","RFP/NJCOOP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","02/01/2025","01/31/2028"
"24-PROS1-94235","","T2549 - Subsurface Remedial Action Services, NJDEP","ACV Environmental Services, Inc.","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","12/01/2024","11/30/2027"
"24-PROS1-94234","","T2549 - Subsurface Remedial Action Services, NJDEP","Handex Consulting & Remediation LLC","RFP/SC-SBE","$1,195,374.50","Division of Purchase and Property ","3PS - Sent","12/01/2024","11/30/2027"
"24-PROS1-91787","","T2658 - Non-Emergency Remedial Action Services (NERAS)","Applied Service Corp","RFP","$1,133,399.50","Division of Purchase and Property ","3PS - Sent","11/01/2024","10/31/2027"
"24-PROS1-91786","","T2658 - Non-Emergency Remedial Action Services (NERAS)","Atlantic Response, Inc.","RFP","$400,796.00","Division of Purchase and Property ","3PS - Sent","11/01/2024","10/31/2027"
"24-PROS1-90907","","T2435 - Environmental Emergency Response Services: NJDEP & Statewide","ACV Environmental Services, Inc.","RFP/PSBE/PDVOB","$18,992.50","Division of Purchase and Property ","3PS - Sent","10/11/2024","10/10/2029"
"24-PROS1-90906","","T2435 - Environmental Emergency Response Services: NJDEP & Statewide","Atlantic Response, Inc.","RFP/PSBE/PDVOB","$49,896.82","Division of Purchase and Property ","3PS - Sent","10/11/2024","10/10/2029"
